Molecule,M1,M2
1,0.002190032,0.002813218
2,0,0
3,0.003622384,0.004010404
4,0.002118588,0.000940616
5,0.006172685,0.006911046
6,0.003337195,0.004700702
7,0.005871575,0.007230353
8,0.006960888,0.007537711
9,0.003498499,0.00221709
10,0.007171261,0.006594839
11,0.010008158,0.010021882
12,0.010426335,0.010565516
13,0.006722791,0.00489278
14,0.002608804,0.000940919
15,0.006900113,0.005039855
16,0.008038972,0.008993644
17,0.010618863,0.011502171
18,0.003695048,0.00293659
19,0.008302227,0.007579372
20,0.0058754,0.004979114
21,0.003636713,0.001848825
22,0.011656962,0.010387841
23,0.011706982,0.010449906
24,0.006812144,0.004470432
25,0.005192575,0.003446632
26,0.006934283,0.004619485
27,0.00704751,0.00600475
28,0.006610071,0.005610874
29,0.008530387,0.006212128
30,0.011005886,0.010850648
31,0.006459719,0.005204659
32,0.010413775,0.00884045
33,0.010436405,0.008854132
34,0.009110486,0.008760874
35,0.00734456,0.006343613
36,0.007656399,0.006465062
37,0.014708766,0.014031586
38,0.007693558,0.00633025
39,0.007366493,0.006214466
40,0.011022374,0.009265625
41,0.011155249,0.009416479
42,0.008652466,0.007566489
43,0.01096618,0.009054765
44,0.011091561,0.009193844
45,0.008062934,0.006578687
46,0.012035034,0.010387766
47,0.012133389,0.010483016
48,0.008846961,0.007620017
49,0.012178474,0.010413469
50,0.012184978,0.010409113
51,0.00946997,0.007898341
52,0.012863139,0.010711841
